endpoint,family,n,mean,median,sd,iqr,min,max,n_positive,sign_flip_observed_mean,sign_flip_two_sided_p,sign_flip_method,n_sign_samples,n_sign_combinations,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high
energy_primary,DS002721,30,0.02708664269420173,0.04929508563857932,0.1900779446280574,0.19799220383536476,-0.5633697276932662,0.403607902241782,16,0.02708664269420173,0.44393112137757246,monte_carlo,50000,1073741824,-0.04163185326431793,0.09066276700498967,-0.06309028930185363,0.11415295013882018
tension_primary,DS002721,30,-0.03238726583605488,-0.04319673810543355,0.18358796894030452,0.2635204052671929,-0.4049233683427834,0.34231895277340324,12,-0.03238726583605488,0.3381132377352453,monte_carlo,50000,1073741824,-0.09722421161381521,0.030748493901028465,-0.11691810208037745,0.07577574669765175
pleasantness_primary,DS002721,30,-0.0016168388262900425,0.03870137988500002,0.15985527730249044,0.1735609082656212,-0.39256516018883186,0.2938803047326848,17,-0.0016168388262900425,0.9564208715825684,monte_carlo,50000,1073741824,-0.05971657260011413,0.05383144160585777,-0.05187703121689818,0.06824845142390132
energy_roi,DS002721,30,-0.00746330142948955,0.0038806526557250043,0.19718590416794007,0.2800554370331343,-0.42560112948147266,0.2876260359969795,15,-0.00746330142948955,0.8356432871342573,monte_carlo,50000,1073741824,-0.07899690312009337,0.06261376141868663,-0.08293658554340386,0.09200028901288547
tension_roi,DS002721,30,0.005603949539237183,-0.03205087520937941,0.19902380165116035,0.31662043251802413,-0.2881795723231497,0.44704362913473766,14,0.005603949539237183,0.879502409951801,monte_carlo,50000,1073741824,-0.06434551480043155,0.07603276861563234,-0.10789784900414034,0.09966437409903317
pleasantness_roi,DS002721,30,0.01466135461874764,0.03316237803884103,0.20630978156131438,0.30388684402044003,-0.3560945419061545,0.3712004518837471,16,0.01466135461874764,0.6977860442791144,monte_carlo,50000,1073741824,-0.05778208184637182,0.08521162456713252,-0.09355647212234566,0.12300099006657558
