endpoint,family,n,mean,median,sd,iqr,min,max,n_positive,sign_flip_observed_mean,sign_flip_two_sided_p,sign_flip_method,n_sign_samples,n_sign_combinations,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high
energy_primary,DS002721,31,-0.01829518152665711,-0.022810202581739044,0.16576747993255778,0.22973827373224304,-0.37656537633822074,0.2715277406604638,14,-0.01829518152665711,0.5457290854182917,monte_carlo,50000,2147483648,-0.07679012996914787,0.03977583507345639,-0.09798148021652456,0.04075435618717683
tension_primary,DS002721,31,-0.045584860917639,-0.05284888655968742,0.1501451568802989,0.1748163585353418,-0.45347168012204386,0.1966011905319576,9,-0.045584860917639,0.10281794364112717,monte_carlo,50000,2147483648,-0.09840240483996288,0.00515657715831726,-0.09604965780168154,-0.003350229646456033
pleasantness_primary,DS002721,31,-0.0026772880645794905,-0.04175978725948167,0.15725504271443308,0.18571162881066583,-0.23085941487168474,0.422561246298913,11,-0.0026772880645794905,0.9249815003699926,monte_carlo,50000,2147483648,-0.055586223184278256,0.05449317999413699,-0.05821092566989624,0.03728942303909081
energy_roi,DS002721,31,-0.013097977329222065,-0.013417766224552381,0.13466069972928466,0.20234355587678335,-0.39816760395664125,0.16653072976299052,15,-0.013097977329222065,0.5967680646387072,monte_carlo,50000,2147483648,-0.06132216545474356,0.031741724753017626,-0.07206513694243592,0.06957794136048331
tension_roi,DS002721,31,-0.07773124889749408,-0.12602925385146405,0.16656973749654738,0.22667242479999683,-0.41828846398240294,0.2625831038416766,9,-0.07773124889749408,0.015919681606367874,monte_carlo,50000,2147483648,-0.1345493235464806,-0.01841577868868073,-0.17476155516455769,-0.04642937719836621
pleasantness_roi,DS002721,31,0.020405479590956982,0.02148985600922584,0.16243388229917988,0.2215767460349738,-0.22607884826684904,0.3428302170712382,17,0.020405479590956982,0.49347013059738803,monte_carlo,50000,2147483648,-0.033621799439052434,0.07762299038831323,-0.08046584655478459,0.08811107875381809
