endpoint,family,delta_column,n,mean,median,sd,iqr,min,max,n_positive,sign_flip_observed_mean,sign_flip_two_sided_p,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,secondary_bonferroni_p
beta_raw,primary,delta_beta_raw,22,0.09371705675831468,0.07913079048798784,0.3183361610836395,0.3167354270207017,-0.4872310311058067,0.7672200791403292,15,0.09371705675831468,0.18211908766768273,-0.03888490485597066,0.22136655324910037,-0.03560088075530561,0.2247392667438771,
beta_detrended,secondary_sensitivity,delta_beta_detrended,22,0.05030222437137332,0.08993561030235163,0.1547506444857134,0.2207586786114222,-0.26937290033594624,0.3371500559910415,14,0.05030222437137332,0.1419236321631355,-0.012922668736638497,0.11098657169398347,-0.01933090705487122,0.1186310190369541,0.42577089648940647
upper_alpha_raw,secondary,delta_alpha_raw,22,0.05204159634785744,-0.008052488257504832,0.2557215635976904,0.22884995692201304,-0.4529931328259579,0.6665982127445625,10,0.05204159634785744,0.3558293924738425,-0.04693813201977599,0.15875412812540984,-0.05381602815837804,0.12261219174976698,1.0
upper_alpha_detrended,secondary_sensitivity,delta_alpha_detrended,22,0.005266339203909196,-0.033286674132138865,0.17070327511645253,0.12070268756998881,-0.43346864501679727,0.47812150055991043,8,0.005266339203909196,0.8878355293666055,-0.06385853036241473,0.07639899661508703,-0.06484462486002239,0.03941769316909294,1.0
